scorer,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,Client_Body_bot1,Client_Body_bot1,Client_Body_bot2,Client_Body_bot2,Client_Body_top1,Client_Body_top1,Client_Body_top2,Client_Body_top2,Client_Mouth,Client_Mouth,Client_Spine_head,Client_Spine_head,Client_Spine_mid,Client_Spine_mid,Client_Tail,Client_Tail,Client_Tail_Bot,Client_Tail_Bot,Client_Tail_Top,Client_Tail_Top,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
28,5.0465359921875494,0.996999979019165,4.479797892672811,0.972000002861023,1.3030767983916667,0.996999979019165,10.84132862217809,0.9679999947547913,3.413022551512876,0.9980000257492065,4.5829244794442285,0.9959999918937683,1.7512728815886336,0.9639999866485596,0.5232644790010111,0.9900000095367432,4.444713668701006,1.0,2.9544918834665332,0.9990000128746033,3.576335890026634,0.9929999709129333,4.03592485188193,0.9990000128746033,3.5328920271264446,0.9980000257492065,2.629765303820455,0.9990000128746033
29,2.3281240105904204,1.0,1.7458227874663557,0.9990000128746033,1.2011828672890532,1.0,1.5176009863080708,0.9980000257492065,6.640065012659577,0.9990000128746033,5.135610188339218,1.0,5.801908831293378,0.9990000128746033,2.384953060550952,0.9990000128746033,1.4100268947147705,1.0,2.762544740280798,1.0,3.075494871497152,1.0,1.368860150264066,0.996999979019165,2.8432595305231705,0.9980000257492065,5.677509451435949,1.0
30,7.224216410964065,0.9959999918937683,5.526890100766359,0.9850000143051147,5.583527412510845,0.9909999966621399,7.002343877955411,0.9679999947547913,5.990864061930055,0.9980000257492065,2.709812881281059,0.9900000095367432,9.999131016134584,0.9829999804496765,7.7438660753768005,0.9769999980926514,5.932481935344985,0.9980000257492065,3.037921558754316,0.9990000128746033,1.9026325502601102,1.0,2.9364278355186713,0.9850000143051147,7.46904118996943,0.9670000076293945,2.2861136181480974,0.9980000257492065
31,1.7673160707960425,0.9980000257492065,,,2.2502136477362917,0.9959999918937683,,,3.1240739654435337,0.9980000257492065,2.743536378592182,0.9980000257492065,1.3145932202605939,0.9580000042915344,,,3.1299414061819912,0.9990000128746033,,,4.747779761824125,0.9990000128746033,1.477690215114588,0.9959999918937683,0.9411636141757975,0.9890000224113464,1.0346339142473444,1.0
32,2.9352347748241137,0.9990000128746033,2.211912682336292,0.9909999966621399,2.262480120934681,1.0,4.222615007241705,0.949999988079071,4.038947762454375,0.9950000047683716,2.1955501807133326,0.9990000128746033,3.1790896909135284,0.9950000047683716,2.5525769323716703,0.9890000224113464,2.536743901106893,0.9990000128746033,7.880894999979656,0.9990000128746033,3.69540089171014,0.9950000047683716,3.6545651265757195,0.9980000257492065,6.061523008309248,0.9980000257492065,3.9724541900687114,0.9959999918937683
33,1.918398458512436,0.9959999918937683,0.8778837493418656,0.9990000128746033,5.145344005678579,0.9990000128746033,3.6593032806321992,0.9909999966621399,,,2.5886842046161855,1.0,4.015634652154048,0.9869999885559082,4.070365976052093,0.9940000176429749,4.9629654513336225,0.9990000128746033,2.383193549479189,1.0,2.522129489763297,1.0,4.8762734017330835,0.996999979019165,0.7570373727563112,0.9959999918937683,0.4038072139524703,1.0
34,6.937384122271038,0.9980000257492065,1.662488914735683,0.9980000257492065,5.056819050027435,1.0,,,0.42174389971593984,0.9980000257492065,2.5635972549519876,0.9990000128746033,,,,,,,,,1.5477020154948198,1.0,1.8806094824458506,1.0,2.456114950896202,0.9950000047683716,3.117860878641252,0.9980000257492065
35,3.01924666312576,0.9990000128746033,3.063636410183168,0.9890000224113464,5.985869517389166,0.9990000128746033,1.286436382393154,0.996999979019165,4.504840662163066,0.9990000128746033,4.930193851777765,0.9919999837875366,5.569297633406692,0.9929999709129333,3.310483926853836,0.9990000128746033,2.4856784609071783,0.9990000128746033,0.8390098465011229,1.0,2.590495712170409,1.0,2.085718892557979,1.0,4.377175802809748,0.9980000257492065,1.050755043729579,1.0
36,1.6053364353038673,0.9990000128746033,8.593424162882716,0.9959999918937683,6.234918467650143,0.9980000257492065,4.678116484304217,0.9779999852180481,2.747630050489362,0.9990000128746033,5.4363755740878865,0.9980000257492065,5.946282570830924,0.9890000224113464,6.598103857861594,0.9919999837875366,2.5152526811278086,1.0,7.1316821366353835,0.9990000128746033,,,,,,,,
37,3.7527140877851766,1.0,1.4288822487481487,0.9950000047683716,5.977862108380866,0.9940000176429749,2.128144334801998,0.984000027179718,3.149796702454361,0.9990000128746033,9.4571597063591,0.9950000047683716,4.1222291315087825,0.9959999918937683,1.7207322759130852,0.9980000257492065,2.989466297479985,0.9990000128746033,7.533522880777809,0.996999979019165,4.2427643453464725,0.9980000257492065,3.8908902286316027,0.9929999709129333,,,1.011955015755062,0.9980000257492065
38,3.553975407303387,1.0,1.6756042991916793,0.9980000257492065,3.447045056163591,1.0,3.77119907617347,0.9929999709129333,0.44447885595714814,1.0,4.779772381806099,0.996999979019165,4.1468978175143825,0.9980000257492065,5.065148237711336,0.9950000047683716,5.178079294892021,1.0,5.679739027124532,0.9990000128746033,7.098415707242882,0.9890000224113464,6.818433565790049,0.9869999885559082,2.0859134434377484,0.9779999852180481,0.4896327671760192,0.996999979019165
39,9.003833169797778,0.9959999918937683,7.0275546388491295,0.9909999966621399,1.5298325056000752,0.9980000257492065,3.964641636970271,0.9950000047683716,2.698026122688968,1.0,7.148403365071661,0.9980000257492065,9.503286311764066,0.9879999756813049,3.042217262199374,0.9919999837875366,2.7752067031329,0.9990000128746033,1.6846574008259063,0.9990000128746033,2.8544766107652344,1.0,30.501900939203,1.0,12.017715020264104,0.9980000257492065,4.431603703763774,0.9980000257492065
40,6.251748360401623,0.9929999709129333,4.187927832563318,0.9750000238418579,1.9304004462460578,0.9980000257492065,4.414337384992016,0.9860000014305115,1.885974222398676,0.9990000128746033,0.8472587017798231,0.9950000047683716,7.439864963043776,0.9919999837875366,1.6211923280058327,0.9869999885559082,2.484568515722823,0.9990000128746033,3.1184492801699863,1.0,3.38609879305568,1.0,4.5472260147894605,1.0,4.519921033023808,0.996999979019165,2.3803805179844044,0.9990000128746033
41,3.3501844355546573,0.9990000128746033,4.2065323378627415,0.9980000257492065,2.2383883362786903,0.9990000128746033,7.816645103772754,0.9729999899864197,1.3506186260937667,1.0,3.0739786060135215,0.9980000257492065,5.50969620319687,0.9950000047683716,1.1346492742117058,0.9990000128746033,1.6033287760222037,0.9990000128746033,3.8016057703741986,1.0,4.222464005402289,1.0,5.803130255460927,0.9959999918937683,0.7415980501017602,0.9990000128746033,1.7598235385572483,0.9990000128746033
42,3.287516576205984,0.9980000257492065,7.91417042345635,0.9610000252723694,10.045317180690366,0.996999979019165,4.926265065041986,0.9700000286102295,5.520277042873395,0.996999979019165,3.0793370574653367,0.9950000047683716,7.4702202166848855,0.9570000171661377,8.001359000077157,0.9929999709129333,4.258600745466691,0.9990000128746033,2.3246880424410863,0.9990000128746033,1.0903294741139746,1.0,0.7751607862293137,0.9980000257492065,1.1788314556682387,0.996999979019165,4.295774516153033,0.9890000224113464
43,7.152717504565852,0.9990000128746033,1.8381583017451002,0.996999979019165,3.3673879097454567,0.9990000128746033,7.670049743337399,0.9750000238418579,3.9282293327784195,1.0,5.452674667790743,0.996999979019165,9.146668541993389,0.9769999980926514,4.477826558717634,0.9829999804496765,3.8222154483606348,0.9990000128746033,5.946448051208787,0.9990000128746033,4.42474529494494,1.0,2.366896636642829,0.9990000128746033,7.036796609582667,0.9990000128746033,3.8524150554003738,0.9990000128746033
44,2.503523495769196,0.9919999837875366,1.683631145177764,0.9980000257492065,2.744048149202936,0.9980000257492065,3.5611569369528056,0.9940000176429749,,,2.70048759598884,0.9980000257492065,4.054255668628594,0.9950000047683716,10.128338770541415,0.9760000109672546,1.8014366094736436,0.996999979019165,2.587358104532828,0.9990000128746033,0.3963603517850965,0.9900000095367432,2.9193869999901976,0.9990000128746033,7.733724031437901,0.9980000257492065,2.4741844736357956,0.9980000257492065
45,7.532406212350727,0.9980000257492065,1.718094890116033,0.996999979019165,4.6188064719145965,0.9980000257492065,1.5631853435942171,0.984000027179718,3.906913726289817,0.996999979019165,4.511407887246624,0.9950000047683716,8.237531379430129,0.9940000176429749,1.3592373763245624,0.996999979019165,2.625461205877574,0.9990000128746033,4.774348354984022,0.9990000128746033,6.882971508717116,1.0,2.735348995850808,0.9959999918937683,2.1278774079255713,0.9940000176429749,7.0151041638019205,0.9909999966621399
