scorer,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,Client_Eye_L,Client_Eye_L,Client_Eye_R,Client_Eye_R,Client_FinBase_L,Client_FinBase_L,Client_FinBase_R,Client_FinBase_R,Client_FinTip_L,Client_FinTip_L,Client_FinTip_R,Client_FinTip_R,Client_Mouth,Client_Mouth,Client_Spine_1,Client_Spine_1,Client_Spine_2,Client_Spine_2,Client_Tail,Client_Tail,Client_TailTip,Client_TailTip,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
16,3.13487997716119,0.9980000257492065,3.8430657217276885,0.9990000128746033,3.540934351942524,0.9990000128746033,6.085716738370747,0.9929999709129333,7.1621110638838354,0.9940000176429749,8.650015840199979,0.996999979019165,4.301017365576646,0.9990000128746033,9.79111481573176,0.9750000238418579,2.962992136448696,0.9829999804496765,1.7332954013270678,0.9990000128746033,5.3721302885946285,0.9959999918937683,1.503162656511834,1.0,2.94578761392285,0.9890000224113464,7.209969297610656,0.984000027179718,4.64173577539928,0.9990000128746033
17,5.3940243951065145,0.9990000128746033,4.382968404855221,0.9990000128746033,2.2149755115075567,1.0,3.7738958994220524,0.9990000128746033,1.978391585954352,0.9940000176429749,2.332152148047923,0.9959999918937683,2.1997747788145734,1.0,1.9345388660337857,0.9980000257492065,2.5162663609553535,0.9879999756813049,8.031071800830267,0.9990000128746033,2.956060341822061,0.9990000128746033,0.8259281748447844,1.0,0.9057079076428389,0.996999979019165,4.045474912423299,0.9890000224113464,2.0836695099748646,0.9990000128746033
18,2.1769010622160057,0.9990000128746033,6.223911015389632,0.996999979019165,1.9568247736338371,0.9990000128746033,4.206187012123009,0.9980000257492065,7.5572562400966685,0.9860000014305115,1.7794669427435785,0.9959999918937683,3.7678602928426153,1.0,7.344372274318556,0.9919999837875366,7.671818732554817,0.9769999980926514,11.310436115818057,0.9990000128746033,4.0680073712058205,0.9980000257492065,2.765811893761569,1.0,6.028243782006244,0.9959999918937683,5.186478248307343,0.9919999837875366,6.237842854389648,0.9890000224113464
19,4.136659065449658,0.9990000128746033,6.420353655355009,0.9990000128746033,4.262706155437713,1.0,1.6632373351333507,1.0,6.992777646930479,0.9940000176429749,6.367265714111149,0.9980000257492065,1.302555578260301,0.9990000128746033,9.848002807942585,0.984000027179718,3.3301896567882303,0.972000002861023,4.319748633613172,1.0,5.045222806038913,0.9980000257492065,3.45064311174256,1.0,3.677113317395804,0.9819999933242798,6.973218771283584,0.9869999885559082,3.7751724427448337,0.9990000128746033
20,6.076426103664173,0.9980000257492065,3.6365934649339504,1.0,0.8368796896853679,1.0,5.55608494134126,0.9980000257492065,3.741521530310669,0.9909999966621399,8.932982314421128,0.9950000047683716,0.21052936329348204,1.0,3.2548933949030436,0.9980000257492065,7.013148800262748,0.9900000095367432,1.9439641166750046,0.9980000257492065,2.1090229515249335,0.9990000128746033,2.032672831759491,1.0,3.5993229032186123,0.9940000176429749,4.096532353901294,0.9869999885559082,2.5279733947927494,0.9990000128746033
21,2.398002407939733,0.9990000128746033,3.858527911016883,0.9980000257492065,2.728404548055327,0.9990000128746033,2.177148932580523,0.9980000257492065,4.751442701873335,0.9890000224113464,2.047617961877783,0.9890000224113464,3.711861394294933,1.0,5.136166865207409,0.9860000014305115,4.513700370723528,0.9819999933242798,2.572172115566416,0.9990000128746033,5.8970362263442055,0.9990000128746033,2.2591590116703393,1.0,6.631158699780045,0.9919999837875366,1.3476490785842905,0.984000027179718,2.178091030637825,1.0
22,4.7051920821173905,0.9990000128746033,3.7444953595958754,1.0,3.685806899728415,0.9990000128746033,4.91417998986878,0.996999979019165,9.063822487041707,0.9890000224113464,5.164312444392307,0.9950000047683716,1.250378285826323,1.0,5.129395444007015,0.996999979019165,9.562480653607468,0.9860000014305115,2.2795370595222497,0.9990000128746033,6.3106209049874735,0.9990000128746033,2.2370585838786865,1.0,2.2224775036632685,0.9940000176429749,6.888544055644292,0.9950000047683716,3.1091496281012074,0.9990000128746033
23,2.90889910325128,0.9980000257492065,4.449369059973979,0.9990000128746033,2.4129351307938083,0.9990000128746033,5.98490913654104,0.9980000257492065,1.8917944931280728,0.9919999837875366,3.050111446477373,0.9959999918937683,2.8121859569530843,1.0,10.451345502301375,0.9929999709129333,6.335670252546078,0.9850000143051147,3.662238523652134,0.9990000128746033,7.34093229848997,0.9990000128746033,3.670297876558683,1.0,6.728081265243254,0.9950000047683716,7.369828372507034,0.9929999709129333,2.2184656327765793,0.9990000128746033
24,4.629540097827679,0.9990000128746033,4.498478770180628,0.9990000128746033,6.5640184079521315,0.9990000128746033,2.649171278590574,0.9990000128746033,1.0486128359236415,0.9929999709129333,1.8870635923617336,0.9950000047683716,2.856444862615699,1.0,2.588326204610446,0.9929999709129333,1.6415426294476172,0.9769999980926514,1.031557446090121,0.9990000128746033,2.8954267131653073,0.9990000128746033,2.212401845613253,0.9990000128746033,4.220511761209395,0.9879999756813049,3.9013434004887904,0.9909999966621399,0.5796388403718173,1.0
25,4.013022067109076,0.9980000257492065,3.9365995562166964,0.9980000257492065,3.645832712644215,0.9990000128746033,4.321202991164916,1.0,2.4270804498407044,0.9959999918937683,3.3381597276292316,0.9950000047683716,2.3192498412360667,1.0,14.060419931602224,0.9789999723434448,4.34068221997691,0.9900000095367432,3.4737747091189357,0.9940000176429749,7.685847357173528,0.9959999918937683,3.313206637678676,0.9950000047683716,3.517750200280262,0.9909999966621399,2.6594923065595033,0.9739999771118164,1.803850480895866,0.9980000257492065
